Name,Type,Sub-Type,Price,Price Type
Arri Alexa,Camera,,650,Per Day
RED Epic X,Camera,,500,Per Day
RED Scarlet,Camera,,250,Per Day
Sony PMW-F55,Camera,,300,Per Day
Sony PMW-F5,Camera,,200,Per Day
RED MX,Camera,,200,Per Day
Canon EOS C300,Camera,,185,Per Day
Canon 1DC,Camera,,135,Per Day
Canon 1DX,Camera,,125,Per Day
Sony NEX-FS700,Camera,,140,Per Day
Blackmagic Cinema Camera,Camera,,140,Per Day
RED One,Camera,,150,Per Day
Canon 5D MKIII,Camera,,110,Per Day
Canon 5D MKII,Camera,,80,Per Day
Canon 7D DSLR,Camera,,80,Per Day
Sony PMW-F3,Camera,,250,Per Day
Sony PMW-EX3,Camera,,140,Per Day
Arri 12mm Ultra Prime T2 Lens,Lenses,35mm Primes,150,Per Day
Arri 14mm Ultra Prime T1.9 Lens,Lenses,35mm Primes,150,Per Day
Arri Master Macro 100mm T2.0 Lens,Lenses,35mm Primes,125,Per Day
"Cooke S4 (12, 14, 16mm T2) each lens",Lenses,35mm Primes,150,Per Day
Cooke S4 (180mm T1.9) Lens,Lenses,35mm Primes,160,Per Day
"Cooke S4 (40, 65, 100, 135mm T2) each lens",Lenses,35mm Primes,165,Per Day
Lens Baby Shift & Tilt PL Mount,Lenses,35mm Primes,50,Per Day
Zeiss 14mm T1.8 standard prime lens,Lenses,35mm Primes,65,Per Day
Zeiss Compact Prime CP2 135mm T2.1 Lens,Lenses,35mm Primes,85,Per Day
Cooke Mini S4 (Panchro) Lens Set T2.8,Lenses,35mm Lens Sets,,Call
Cooke S4 Lens Set,Lenses,35mm Lens Sets,450,Per Day
Zeiss Compact Prime CP2 Lens Set,Lenses,35mm Lens Sets,200,Per Day
Zeiss Superspeed Lens Set T1.3,Lenses,35mm Lens Sets,300,Per Day
Zeiss Superspeed Lens Set T1.4,Lenses,35mm Lens Sets,250,Per Day
Zeiss Ultra Prime Lens Set,Lenses,35mm Lens Sets,350,Per Day
Angenieux Optimo Zoom Lenses,Lenses,35mm Zooms,,Call
Fujinon/ Arri Alura Zoom Lenses,Lenses,35mm Zooms,,Call
RED Zoom 18-85mm T2.9 Lens,Lenses,35mm Zooms,175,Per Day
Canon EF 14mm prime f2.8 II L,Lenses,DSLR Lenses,40,Per Day
Canon EF 16-35mm f/2.8L USM Lens,Lenses,DSLR Lenses,35,Per Day
Canon EF 24-70mm f/2.8L USM Lens,Lenses,DSLR Lenses,40,Per Day
Canon EF 24mm prime f1.4L II,Lenses,DSLR Lenses,40,Per Day
Canon EF 28-135mm f/3.5-5.6 IS USM Lens,Lenses,DSLR Lenses,35,Per Day
Canon EF 35mm prime f1.4L,Lenses,DSLR Lenses,40,Per Day
Canon EF 50mm prime f1.2L,Lenses,DSLR Lenses,40,Per Day
Canon EF 85mm prime f1.2 II L,Lenses,DSLR Lenses,40,Per Day
Lens Baby Shift & Tilt Canon Mount,Lenses,DSLR Lenses,50,Per Day
Nikon 35mm SLR 16mm Fisheye Lens,Lenses,DSLR Lenses,35,Per Day
Nikon Nikkor 35mm SLR Lens Set,Lenses,DSLR Lenses,75,Per Day
Chapman Super PeeWee III Dolly,Grip,Dollies,240,Per Day
Long Valley Flatbed Dolly,Grip,Dollies,50,Per Day
Losmandy 3-Leg Spider Dolly,Grip,Dollies,70,Per Day
Losmandy 4-Leg Spider Dolly,Grip,Dollies,85,Per Day
P+S Technik Skater Mini,Grip,Dollies,90,Per Day
PD-1 Camera Dolly,Grip,Dollies,100,Per Day
EZFX Extension Kit,Grip,Jibs,35,Per Day
EZFX Jib Arm and Jib Pod,Grip,Jibs,95,Per Day
Glidecam Jib Arm,Grip,Jibs,45,Per Day
KE-EMU EagleLite Remote Head,Grip,Jibs,175,Per Day
EF-MOY 3 way leveler,Grip,Tripods,35,Per Day
Ladderpod,Grip,Tripods,100,Per Day
Manfrotto 503 Tripod,Grip,Tripods,15,Per Day
Miller Arrow HD Tripod,Grip,Tripods,35,Per Day
Moy Slider,Grip,Tripods,125,Per Day
O'Connor 120 EX,Grip,Tripods,175,Per Day
O'Connor 2575,Grip,Tripods,135,Per Day
Ronford 2004,Grip,Tripods,70,Per Day
Ronford F7 MKII,Grip,Tripods,70,Per Day
Ronford HI Hat,Grip,Tripods,15,Per Day
Sachtler 100mm Baby Legs,Grip,Tripods,20,Per Day
Sachtler 100mm Hi Hat,Grip,Tripods,20,Per Day
Sachtler CINE 30,Grip,Tripods,45,Per Day
Sachtler Video 20,Grip,Tripods,35,Per Day
Short and Tall Legs (Bowl Head),Grip,Tripods,50,Per Day
Short and Tall Legs (Moy),Grip,Tripods,70,Per Day
Flexi-Track Kit,Grip,Tracks ,20,Per Day
Moy Track Curved (12' Diameter),Grip,Tracks ,40,Per Day
Moy Track Curved (18' Diameter),Grip,Tracks ,55,Per Day
Moy Track Run-Up,Grip,Tracks ,8,Per Day
Moy Track Straight - 2 Foot,Grip,Tracks ,5,Per Day
Moy Track Straight - 4 Foot,Grip,Tracks ,10,Per Day
Moy Track Straight - 6 Foot,Grip,Tracks ,15,Per Day
Moy Track Straight - 8 Foot,Grip,Tracks ,20,Per Day
SSE Turbo Track - Curved,Grip,Tracks ,30,Per Day
SSE Turbo Track - Straight,Grip,Tracks ,35,Per Day
EasyRig Cinema 3,Grip,Stabiliser,165,Per Day
Freefly MoVI M10,Grip,Stabiliser,250,Per Day
Glidecam V8,Grip,Stabiliser,70,Per Day
Pag Orbitor,Grip,Stabiliser,25,Per Day
Redrock DSLR Field Cinema Bundle,Grip,Stabiliser,35,Per Day
Redrock DSLR Studio Cinema Bundle,Grip,Stabiliser,35,Per Day
SM3 Car Mount,Grip,Stabiliser,55,Per Day
Arri 1.2K HMI Lamp,Lighting,HMI,75,Per Day
Arri 2.5K HMI Lamp,Lighting,HMI,95,Per Day
Arri 4K HMI Lamp,Lighting,HMI,145,Per Day
Arri 575W HMI Lamp,Lighting,HMI,65,Per Day
Arri 6K HMI Lamp,Lighting,HMI,190,Per Day
K5600 Jokerbug 200W HMI Lamp,Lighting,HMI,,Call
K5600 Jokerbug 800W HMI Lamp,Lighting,HMI,,Call
Arri 1K PUP Lamp,Lighting,Tungsten ,15,Per Day
Arri 2K Blonde Lamp,Lighting,Tungsten ,15,Per Day
Arri 2K Fresnel Lamp,Lighting,Tungsten ,15,Per Day
Arri 300W Fresnel Lamp,Lighting,Tungsten ,8,Per Day
Arri 650W Fresnel Lamp,Lighting,Tungsten ,8,Per Day
Arri 750W Lamp,Lighting,Tungsten ,8,Per Day
ARRI 800W Redhead Lamp,Lighting,Tungsten ,8,Per Day
Dedo 150W Lamp Kit,Lighting,Tungsten ,65,Per Day
Rifa 1000W Lamp,Lighting,Tungsten ,65,Per Day
Rifa 500W Lamp,Lighting,Tungsten ,45,Per Day
KinoFlo 4 Foot 4 Bank Lamp,Lighting,Fluorescent,65,Per Day
KinoFlo Diva 400 Lamp,Lighting,Fluorescent,45,Per Day
KinoFlo MiniFlo,Lighting,Fluorescent,35,Per Day
Gekko KissLite,Lighting,Battery Powered,135,Per Day
Gekko LensLite,Lighting,Battery Powered,90,Per Day
IDX 50w Top Light,Lighting,Battery Powered,15,Per Day
LitePanel 1x1 Foot LED Lamp,Lighting,Battery Powered,65,Per Day
LitePanel Micro LED Top Lamp,Lighting,Battery Powered,15,Per Day
PAG 50W Top Light,Lighting,Battery Powered,30,Per Day
Sony 20W Top Light,Lighting,Battery Powered,10,Per Day
20w Strobe Light,Lighting,Accessories,5,Per Day
Century Stand,Lighting,Accessories,5,Per Day
Chroma Key Fabric Screen,Lighting,Accessories,15,Per Day
Gaffer Clamp,Lighting,Accessories,2.5,Per Day
LastoLite Reflector,Lighting,Accessories,5,Per Day
Magic Arm Kit,Lighting,Accessories,5,Per Day
Manfrotto AutoPole 2 (PoleCat),Lighting,Accessories,5,Per Day
Manfrotto AutoPole2 Extension,Lighting,Accessories,5,Per Day
"Polyboard 4x4 Foot 2"" Square (Black/White)",Lighting,Accessories,22.5,Purchase
"Polyboard 8x4 Foot 2"" Rectangle (Black/White)",Lighting,Accessories,39.95,Purchase
Polyboard Holder Kit,Lighting,Accessories,5,Per Day
Sennheiser 416P kit,Sound,,15,Per Day
Sennheiser EW100 G2 Radio Microphone Kit,Sound,,25,Per Day
Sennheiser K6/ME66,Sound,,10,Per Day
Softie and pistol grip,Sound,,5,Per Day
SQN 4 Channel Sound Mixer KIT,Sound,,50,Per Day
Tascam DA-P1,Sound,,30,Per Day
Technics headphones,Sound,,5,Per Day
Telescopic Boom Pole,Sound,,15,Per Day
ARRI FF3,Accessories,Follow Focus,65,Per Day
ARRI FF4,Accessories,Follow Focus,50,Per Day
ARRI LCS MKIII,Accessories,Follow Focus,300,Per Day
Cmotion 3D FF,Accessories,Follow Focus,,Call
Cmotion WLCS,Accessories,Follow Focus,250,Per Day
Redrock Follow Focus,Accessories,Follow Focus,25,Per Day
